Serial,Id_Unico,Equipo,Marca,Modelo,Servicio,Nueva_Ubicacion,Fuentes
21397427,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,,URGENCIAS ADULTOS,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397429,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397431,21397431.0,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,HOSPITALIZACIÓN PEDIATRÍA (Ruta Dorada),HOSPITALIZACIÓN 4 PISO (M.I),"BOMBAS_2026_PENDIENTES, ICU_MEDICAL_LIST, INV_2025"
21397456,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397458,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397465,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,HOSPITALIZACIÓN ADULTOS PISO 5,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397466,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,,URGENCIAS ADULTOS,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397473,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397477,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,,"BOMBAS_2026_PENDIENTES, ICU_MEDICAL_LIST"
21397496,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,HOSPITALIZACIÓN ADULTOS EXPANSIÓN,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397497,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,,URGENCIAS ADULTOS,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397501,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,,URGENCIAS PEDIATRÍA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397505,21397505.0,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,HOSPITALIZACIÓN ADULTOS 5° PISO,,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST, INV_2025"
