Id_Unico,Equipo,Marca,Modelo,Servicio,Ubicacion,Nueva_Ubicacion,Fuentes,Serial
,,ICU MEDICAL,Plum A+,,,,BOMBAS_2026,23055759
,,ICU MEDICAL,,,,,PTES_MTO_2026,41407204.0
,,ICU MEDICAL,Plum 360,,,,BOMBAS_2026,41407387
,,ICU MEDICAL,,,,,PTES_MTO_2026,41406993.0
,,ICU MEDICAL,Plum 360,,,,BOMBAS_2026,41408397
,,ICU MEDICAL,,,,,PTES_MTO_2026,21436788.0
,,ICU MEDICAL,Plum 360,,,,BOMBAS_2026,50400934
,,ICU MEDICAL,,,,,PTES_MTO_2026,21398010.0
,,ICU MEDICAL,Plum 360,,,,BOMBAS_2026,50401036
,,ICU MEDICAL,,,,,PTES_MTO_2026,18462959.0
,,ICU MEDICAL,Plum 360,,,,BOMBAS_2026,50401062
,,ICU MEDICAL,,,,,PTES_MTO_2026,21398072.0
,,ICU MEDICAL,Plum A+,,,,BOMBAS_2026,21397089
,,ICU MEDICAL,,,,,PTES_MTO_2026,21398028.0
,,ICU MEDICAL,,,,,PTES_MTO_2026,21397902.0
,,ICU MEDICAL,Plum 360,,,,BOMBAS_2026,41406785
,,ICU MEDICAL,,,,,PTES_MTO_2026,21397889.0
,,ICU MEDICAL,Plum 360,,,,BOMBAS_2026,41406933
,,ICU MEDICAL,,,,,PTES_MTO_2026,21397876.0
,,ICU MEDICAL,Plum 360,,,,BOMBAS_2026,41407259
,,ICU MEDICAL,,,,,PTES_MTO_2026,21397861.0
,,ICU MEDICAL,Plum 360,,,,BOMBAS_2026,41407443
,,ICU MEDICAL,,,,,PTES_MTO_2026,21397679.0
,,ICU MEDICAL,Plum 360,,,,BOMBAS_2026,41407646
,,ICU MEDICAL,,,,,PTES_MTO_2026,21397649.0
,,ICU MEDICAL,Plum 360,,,,BOMBAS_2026,41408402
,,ICU MEDICAL,,,,,PTES_MTO_2026,21397637.0
,,ICU MEDICAL,Plum 360,,,,BOMBAS_2026,41408405
,,ICU MEDICAL,,,,,PTES_MTO_2026,21397635.0
